"Year","Length","number","Weight.g","total.Weight.kg"
1991,20,1,4.19301559366363,0.00419301559366363
1991,21,1,4.26130538076705,0.00426130538076705
1991,23,1,4.38863521192963,0.00438863521192963
1991,24,2,4.44820432913469,0.00889640865826938
1991,25,3,4.50534136407567,0.013516024092227
1991,26,9,4.56023714474943,0.0410421343027449
1991,27,17,4.61306088508799,0.0784220350464958
1991,28,33,4.66396333069685,0.153910789912996
1991,29,66,4.71307935233531,0.31106323725413
1991,30,138,4.76053009954673,0.656953153737449
1991,31,235,4.80642480102724,1.1295098282414
1991,32,403,4.85086227906449,1.95489749846299
1991,33,553,4.89393223086613,2.70634452366897
1991,34,735,4.93571631855271,3.62775149413624
1991,35,848,4.97628910110889,4.21989315774034
1991,36,842,5.01571883501779,4.22323525908498
1991,37,851,5.05406816517501,4.30101200856393
1991,38,732,5.09139472364564,3.72690093770861
1991,39,625,5.12775165063253,3.20484478164533
1991,40,605,5.16318804947653,3.1237287699333
1991,41,518,5.19774938546564,2.6924341816712
1991,42,414,5.23147783657995,2.1658318243441
1991,43,426,5.26441260296031,2.24263976886109
1991,44,321,5.29659018079593,1.70020544803549
1991,45,311,5.32804460542983,1.65702187228868
1991,46,240,5.35880766774253,1.28611384025821
1991,47,218,5.38890910726304,1.17478218538334
1991,48,214,5.41837678494759,1.15953263197878
1991,49,181,5.44723683814211,0.985949867703722
1991,50,176,5.47551381988857,0.963690432300389
1991,51,123,5.50323082443581,0.676897391405604
1991,52,104,5.53040960056233,0.575162598458482
1991,53,69,5.55707065410451,0.383437875133211
1991,54,82,5.58323334090089,0.457825133953873
1991,55,68,5.60891595120797,0.381406284682142
1991,56,47,5.63413578650975,0.264804381965958
1991,57,47,5.65890922952874,0.265968733787851
1991,58,29,5.6832518081482,0.164814302436298
1991,59,25,5.70717825387006,0.142679456346751
1991,60,20,5.73070255535963,0.114614051107193
1991,61,14,5.75383800756464,0.0805537321059049
1991,62,10,5.77659725684013,0.0577659725684013
1991,63,2,5.79899234246305,0.0115979846849261
1991,64,4,5.82103473487739,0.0232841389395096
1991,65,4,5.84273537097437,0.0233709414838975
1991,67,1,5.88515264708649,0.00588515264708649
1991,68,2,5.90588877436561,0.0118117775487312
1991,69,1,5.92632217362563,0.00592632217362563
1992,20,1,4.19301559366363,0.00419301559366363
1992,21,1,4.26130538076705,0.00426130538076705
1992,22,4,4.32641772498304,0.0173056708999321
1992,23,4,4.38863521192963,0.0175545408477185
1992,24,12,4.44820432913469,0.0533784519496163
1992,25,17,4.50534136407567,0.0765908031892865
1992,26,19,4.56023714474943,0.0866445057502392
1992,27,24,4.61306088508799,0.110713461242112
1992,28,35,4.66396333069685,0.16323871657439
1992,29,59,4.71307935233531,0.278071681787783
1992,30,114,4.76053009954673,0.542700431348328
1992,31,282,4.80642480102724,1.35541179388968
1992,32,494,4.85086227906449,2.39632596585786
1992,33,908,4.89393223086613,4.44369046562645
1992,34,1133,4.93571631855271,5.59216658892022
1992,35,1220,4.97628910110889,6.07107270335285
1992,36,1235,5.01571883501779,6.19441276124697
1992,37,1134,5.05406816517501,5.73131329930846
1992,38,968,5.09139472364564,4.92847009248898
1992,39,744,5.12775165063253,3.8150472280706
1992,40,609,5.16318804947653,3.14438152213121
1992,41,436,5.19774938546564,2.26621873206302
1992,42,410,5.23147783657995,2.14490591299778
1992,43,273,5.26441260296031,1.43718464060816
1992,44,256,5.29659018079593,1.35592708628376
1992,45,171,5.32804460542983,0.911095627528501
1992,46,161,5.35880766774253,0.862768034506547
1992,47,148,5.38890910726304,0.79755854787493
1992,48,122,5.41837678494759,0.661041967763606
1992,49,106,5.44723683814211,0.577407104843063
1992,50,104,5.47551381988857,0.569453437268412
1992,51,78,5.50323082443581,0.429252004305993
1992,52,67,5.53040960056233,0.370537443237676
1992,53,73,5.55707065410451,0.405666157749629
1992,54,54,5.58323334090089,0.301494600408648
1992,55,40,5.60891595120797,0.224356638048319
1992,56,29,5.63413578650975,0.163389937808783
1992,57,29,5.65890922952874,0.164108367656333
1992,58,31,5.6832518081482,0.176180806052594
1992,59,23,5.70717825387006,0.131265099839011
1992,60,14,5.73070255535963,0.0802298357750348
1992,61,9,5.75383800756464,0.0517845420680817
1992,62,9,5.77659725684013,0.0519893753115612
1992,63,7,5.79899234246305,0.0405929463972413
1992,64,6,5.82103473487739,0.0349262084092643
1992,65,1,5.84273537097437,0.00584273537097437
1992,67,1,5.88515264708649,0.00588515264708649
1992,69,1,5.92632217362563,0.00592632217362563
1993,21,1,4.26130538076705,0.00426130538076705
1993,24,2,4.44820432913469,0.00889640865826938
1993,25,2,4.50534136407567,0.00901068272815135
1993,26,9,4.56023714474943,0.0410421343027449
1993,27,13,4.61306088508799,0.0599697915061439
1993,28,38,4.66396333069685,0.17723060656648
1993,29,50,4.71307935233531,0.235653967616765
1993,30,74,4.76053009954673,0.352279227366458
1993,31,113,4.80642480102724,0.543126002516078
1993,32,158,4.85086227906449,0.76643624009219
1993,33,207,4.89393223086613,1.01304397178929
1993,34,295,4.93571631855271,1.45603631397305
1993,35,330,4.97628910110889,1.64217540336593
1993,36,329,5.01571883501779,1.65017149672085
1993,37,249,5.05406816517501,1.25846297312858
1993,38,248,5.09139472364564,1.26266589146412
1993,39,215,5.12775165063253,1.10246660488599
1993,40,157,5.16318804947653,0.810620523767816
1993,41,127,5.19774938546564,0.660114171954137
1993,42,90,5.23147783657995,0.470833005292195
1993,43,67,5.26441260296031,0.352715644398341
1993,44,53,5.29659018079593,0.280719279582184
1993,45,40,5.32804460542983,0.213121784217193
1993,46,41,5.35880766774253,0.219711114377444
1993,47,33,5.38890910726304,0.17783400053968
1993,48,24,5.41837678494759,0.130041042838742
1993,49,27,5.44723683814211,0.147075394629837
1993,50,18,5.47551381988857,0.0985592487579943
1993,51,11,5.50323082443581,0.0605355390687939
1993,52,11,5.53040960056233,0.0608345056061856
1993,53,8,5.55707065410451,0.0444565652328361
1993,54,12,5.58323334090089,0.0669988000908107
1993,55,8,5.60891595120797,0.0448713276096638
1993,56,4,5.63413578650975,0.022536543146039
1993,57,1,5.65890922952874,0.00565890922952874
1993,58,1,5.6832518081482,0.0056832518081482
1993,59,1,5.70717825387006,0.00570717825387006
1993,60,2,5.73070255535963,0.0114614051107193
1994,20,1,4.19301559366363,0.00419301559366363
1994,22,1,4.32641772498304,0.00432641772498304
1994,26,1,4.56023714474943,0.00456023714474943
1994,27,3,4.61306088508799,0.013839182655264
1994,28,2,4.66396333069685,0.0093279266613937
1994,29,15,4.71307935233531,0.0706961902850296
1994,30,29,4.76053009954673,0.138055372886855
1994,31,67,4.80642480102724,0.322030461668825
1994,32,73,4.85086227906449,0.354112946371708
1994,33,107,4.89393223086613,0.523650748702676
1994,34,118,4.93571631855271,0.58241452558922
1994,35,124,4.97628910110889,0.617059848537502
1994,36,97,5.01571883501779,0.486524726996726
1994,37,111,5.05406816517501,0.561001566334426
1994,38,90,5.09139472364564,0.458225525128108
1994,39,87,5.12775165063253,0.44611439360503
1994,40,69,5.16318804947653,0.356259975413881
1994,41,47,5.19774938546564,0.244294221116885
1994,42,43,5.23147783657995,0.224953546972938
1994,43,24,5.26441260296031,0.126345902471047
1994,44,24,5.29659018079593,0.127118164339102
1994,45,22,5.32804460542983,0.117216981319456
1994,46,17,5.35880766774253,0.091099730351623
1994,47,13,5.38890910726304,0.0700558183944195
1994,48,6,5.41837678494759,0.0325102607096856
1994,49,9,5.44723683814211,0.049025131543279
1994,50,4,5.47551381988857,0.0219020552795543
1994,51,7,5.50323082443581,0.0385226157710506
1994,52,6,5.53040960056233,0.033182457603374
1994,53,6,5.55707065410451,0.0333424239246271
1994,54,5,5.58323334090089,0.0279161667045044
1994,55,2,5.60891595120797,0.0112178319024159
1994,56,4,5.63413578650975,0.022536543146039
1994,57,2,5.65890922952874,0.0113178184590575
1994,58,5,5.6832518081482,0.028416259040741
1994,59,2,5.70717825387006,0.0114143565077401
1994,60,2,5.73070255535963,0.0114614051107193
1994,63,1,5.79899234246305,0.00579899234246305
1995,21,2,4.26130538076705,0.0085226107615341
1995,23,6,4.38863521192963,0.0263318112715778
1995,24,7,4.44820432913469,0.0311374303039428
1995,25,11,4.50534136407567,0.0495587550048324
1995,26,32,4.56023714474943,0.145927588631982
1995,27,76,4.61306088508799,0.350592627266687
1995,28,100,4.66396333069685,0.466396333069685
1995,29,153,4.71307935233531,0.721101140907302
1995,30,222,4.76053009954673,1.05683768209937
1995,31,254,4.80642480102724,1.22083189946092
1995,32,306,4.85086227906449,1.48436385739373
1995,33,253,4.89393223086613,1.23816485440913
1995,34,222,4.93571631855271,1.0957290227187
1995,35,179,4.97628910110889,0.890755749098491
1995,36,156,5.01571883501779,0.782452138262775
1995,37,123,5.05406816517501,0.621650384316526
1995,38,103,5.09139472364564,0.524413656535501
1995,39,97,5.12775165063253,0.497391910111355
1995,40,76,5.16318804947653,0.392402291760216
1995,41,78,5.19774938546564,0.40542445206632
1995,42,60,5.23147783657995,0.313888670194797
1995,43,38,5.26441260296031,0.200047678912492
1995,44,48,5.29659018079593,0.254236328678205
1995,45,32,5.32804460542983,0.170497427373755
1995,46,24,5.35880766774253,0.128611384025821
1995,47,27,5.38890910726304,0.145500545896102
1995,48,19,5.41837678494759,0.102949158914004
1995,49,12,5.44723683814211,0.0653668420577053
1995,50,8,5.47551381988857,0.0438041105591086
1995,51,9,5.50323082443581,0.0495290774199223
1995,52,10,5.53040960056233,0.0553040960056233
1995,53,8,5.55707065410451,0.0444565652328361
1995,54,3,5.58323334090089,0.0167497000227027
1995,55,4,5.60891595120797,0.0224356638048319
1995,56,4,5.63413578650975,0.022536543146039
1995,57,5,5.65890922952874,0.0282945461476437
1995,59,2,5.70717825387006,0.0114143565077401
1995,60,2,5.73070255535963,0.0114614051107193
1995,61,1,5.75383800756464,0.00575383800756464
1995,62,1,5.77659725684013,0.00577659725684013
1995,64,1,5.82103473487739,0.00582103473487739
1995,65,1,5.84273537097437,0.00584273537097437
1996,17,1,3.96554386273981,0.00396554386273981
1996,19,1,4.12122226783274,0.00412122226783274
1996,20,1,4.19301559366363,0.00419301559366363
1996,21,4,4.26130538076705,0.0170452215230682
1996,22,3,4.32641772498304,0.0129792531749491
1996,23,12,4.38863521192963,0.0526636225431556
1996,24,12,4.44820432913469,0.0533784519496163
1996,25,24,4.50534136407567,0.108128192737816
1996,26,25,4.56023714474943,0.114005928618736
1996,27,30,4.61306088508799,0.13839182655264
1996,28,33,4.66396333069685,0.153910789912996
1996,29,45,4.71307935233531,0.212088570855089
1996,30,34,4.76053009954673,0.161858023384589
1996,31,63,4.80642480102724,0.302804762464716
1996,32,55,4.85086227906449,0.266797425348547
1996,33,61,4.89393223086613,0.298529866082834
1996,34,63,4.93571631855271,0.310950128068821
1996,35,78,4.97628910110889,0.388150549886494
1996,36,106,5.01571883501779,0.531666196511886
1996,37,161,5.05406816517501,0.813704974593176
1996,38,133,5.09139472364564,0.67715549824487
1996,39,146,5.12775165063253,0.748651740992349
1996,40,117,5.16318804947653,0.604093001788754
1996,41,95,5.19774938546564,0.493786191619236
1996,42,95,5.23147783657995,0.496990394475095
1996,43,99,5.26441260296031,0.521176847693071
1996,44,98,5.29659018079593,0.519065837718002
1996,45,105,5.32804460542983,0.559444683570132
1996,46,82,5.35880766774253,0.439422228754887
1996,47,81,5.38890910726304,0.436501637688306
1996,48,58,5.41837678494759,0.31426585352696
1996,49,34,5.44723683814211,0.185206052496832
1996,50,23,5.47551381988857,0.125936817857437
1996,51,8,5.50323082443581,0.0440258465954865
1996,52,8,5.53040960056233,0.0442432768044986
1996,53,8,5.55707065410451,0.0444565652328361
1996,54,9,5.58323334090089,0.050249100068108
1996,55,2,5.60891595120797,0.0112178319024159
1996,56,8,5.63413578650975,0.045073086292078
1996,58,3,5.6832518081482,0.0170497554244446
1996,59,2,5.70717825387006,0.0114143565077401
1996,60,3,5.73070255535963,0.0171921076660789
1996,61,2,5.75383800756464,0.0115076760151293
