"","Year","Biomass.kg","Biomass.tons"
"1",1990,478438.713165845,478.438713165845
"2",1991,901855.443726799,901.855443726799
"3",1992,305426.602861883,305.426602861883
"4",1993,169094.987336453,169.094987336453
"5",1994,702053.604789827,702.053604789827
"6",1995,440715.16356741,440.71516356741
"7",1996,642937.096059959,642.937096059959
"8",1997,664920.315180104,664.920315180104
"9",1998,445605.71048963,445.60571048963
"10",1999,477391.634570182,477.391634570182
"11",2000,904282.123140547,904.282123140547
"12",2001,432909.07335632,432.909073356321
"13",2002,129924.175848019,129.924175848019
"14",2003,884972.291229712,884.972291229712
"15",2004,510985.906941509,510.985906941509
"16",2005,507684.505109303,507.684505109303
"17",2006,582904.460327472,582.904460327472
"18",2007,561074.565327071,561.074565327071
"19",2008,491637.134431614,491.637134431614
"20",2009,547571.865519683,547.571865519683
"21",2010,718982.896940208,718.982896940208
"22",2011,900467.29750384,900.46729750384
"23",2012,681837.506883045,681.837506883045
"24",2013,609965.502022823,609.965502022823
"25",2014,529424.828708236,529.424828708236
"26",2015,778600.553383587,778.600553383587
"27",2016,780274.790555416,780.274790555416
"28",2017,721712.179406472,721.712179406472
"29",2018,685622.031976212,685.622031976212
"30",2019,799211.204501159,799.211204501159
