"","Class_long","Nb.ech","n.tot","Annee"
"1","20",1,1,"1991"
"2","21",1,1,"1991"
"3","23",1,1,"1991"
"4","24",2,2,"1991"
"5","25",3,3,"1991"
"6","26",5,9,"1991"
"7","27",9,17,"1991"
"8","28",14,33,"1991"
"9","29",21,66,"1991"
"10","30",31,138,"1991"
"11","31",38,235,"1991"
"12","32",48,403,"1991"
"13","33",55,553,"1991"
"14","34",66,735,"1991"
"15","35",68,848,"1991"
"16","36",68,842,"1991"
"17","37",65,851,"1991"
"18","38",57,732,"1991"
"19","39",53,625,"1991"
"20","40",49,605,"1991"
"21","41",50,518,"1991"
"22","42",44,414,"1991"
"23","43",44,426,"1991"
"24","44",42,321,"1991"
"25","45",40,311,"1991"
"26","46",41,240,"1991"
"27","47",36,218,"1991"
"28","48",39,214,"1991"
"29","49",38,181,"1991"
"30","50",35,176,"1991"
"31","51",29,123,"1991"
"32","52",27,104,"1991"
"33","53",26,69,"1991"
"34","54",25,82,"1991"
"35","55",26,68,"1991"
"36","56",21,47,"1991"
"37","57",22,47,"1991"
"38","58",15,29,"1991"
"39","59",12,25,"1991"
"40","60",10,20,"1991"
"41","61",9,14,"1991"
"42","62",5,10,"1991"
"43","63",2,2,"1991"
"44","64",3,4,"1991"
"45","65",2,4,"1991"
"46","67",1,1,"1991"
"47","68",2,2,"1991"
"48","69",1,1,"1991"
"49","20",1,1,"1992"
"50","21",1,1,"1992"
"51","22",2,4,"1992"
"52","23",3,4,"1992"
"53","24",4,12,"1992"
"54","25",6,17,"1992"
"55","26",4,19,"1992"
"56","27",4,24,"1992"
"57","28",10,35,"1992"
"58","29",19,59,"1992"
"59","30",37,114,"1992"
"60","31",56,282,"1992"
"61","32",71,494,"1992"
"62","33",78,908,"1992"
"63","34",83,1133,"1992"
"64","35",87,1220,"1992"
"65","36",78,1235,"1992"
"66","37",77,1134,"1992"
"67","38",65,968,"1992"
"68","39",63,744,"1992"
"69","40",59,609,"1992"
"70","41",50,436,"1992"
"71","42",53,410,"1992"
"72","43",44,273,"1992"
"73","44",44,256,"1992"
"74","45",37,171,"1992"
"75","46",39,161,"1992"
"76","47",36,148,"1992"
"77","48",31,122,"1992"
"78","49",32,106,"1992"
"79","50",32,104,"1992"
"80","51",26,78,"1992"
"81","52",25,67,"1992"
"82","53",23,73,"1992"
"83","54",21,54,"1992"
"84","55",19,40,"1992"
"85","56",11,29,"1992"
"86","57",11,29,"1992"
"87","58",11,31,"1992"
"88","59",11,23,"1992"
"89","60",8,14,"1992"
"90","61",6,9,"1992"
"91","62",7,9,"1992"
"92","63",5,7,"1992"
"93","64",4,6,"1992"
"94","65",1,1,"1992"
"95","67",1,1,"1992"
"96","69",1,1,"1992"
"97","21",1,1,"1993"
"98","24",1,2,"1993"
"99","25",2,2,"1993"
"100","26",4,9,"1993"
"101","27",5,13,"1993"
"102","28",8,38,"1993"
"103","29",8,50,"1993"
"104","30",12,74,"1993"
"105","31",19,113,"1993"
"106","32",17,158,"1993"
"107","33",24,207,"1993"
"108","34",24,295,"1993"
"109","35",24,330,"1993"
"110","36",19,329,"1993"
"111","37",19,249,"1993"
"112","38",18,248,"1993"
"113","39",14,215,"1993"
"114","40",17,157,"1993"
"115","41",13,127,"1993"
"116","42",14,90,"1993"
"117","43",13,67,"1993"
"118","44",12,53,"1993"
"119","45",12,40,"1993"
"120","46",10,41,"1993"
"121","47",9,33,"1993"
"122","48",8,24,"1993"
"123","49",6,27,"1993"
"124","50",8,18,"1993"
"125","51",5,11,"1993"
"126","52",5,11,"1993"
"127","53",4,8,"1993"
"128","54",6,12,"1993"
"129","55",4,8,"1993"
"130","56",4,4,"1993"
"131","57",1,1,"1993"
"132","58",1,1,"1993"
"133","59",1,1,"1993"
"134","60",1,2,"1993"
"135","20",1,1,"1994"
"136","22",1,1,"1994"
"137","26",1,1,"1994"
"138","27",1,3,"1994"
"139","28",2,2,"1994"
"140","29",2,15,"1994"
"141","30",7,29,"1994"
"142","31",8,67,"1994"
"143","32",8,73,"1994"
"144","33",9,107,"1994"
"145","34",10,118,"1994"
"146","35",8,124,"1994"
"147","36",9,97,"1994"
"148","37",8,111,"1994"
"149","38",8,90,"1994"
"150","39",7,87,"1994"
"151","40",5,69,"1994"
"152","41",6,47,"1994"
"153","42",6,43,"1994"
"154","43",5,24,"1994"
"155","44",5,24,"1994"
"156","45",6,22,"1994"
"157","46",3,17,"1994"
"158","47",4,13,"1994"
"159","48",3,6,"1994"
"160","49",3,9,"1994"
"161","50",2,4,"1994"
"162","51",2,7,"1994"
"163","52",3,6,"1994"
"164","53",2,6,"1994"
"165","54",2,5,"1994"
"166","55",1,2,"1994"
"167","56",2,4,"1994"
"168","57",1,2,"1994"
"169","58",1,5,"1994"
"170","59",1,2,"1994"
"171","60",1,2,"1994"
"172","63",1,1,"1994"
"173","21",1,2,"1995"
"174","23",2,6,"1995"
"175","24",3,7,"1995"
"176","25",3,11,"1995"
"177","26",8,32,"1995"
"178","27",8,76,"1995"
"179","28",9,100,"1995"
"180","29",12,153,"1995"
"181","30",16,222,"1995"
"182","31",20,254,"1995"
"183","32",22,306,"1995"
"184","33",19,253,"1995"
"185","34",18,222,"1995"
"186","35",15,179,"1995"
"187","36",14,156,"1995"
"188","37",14,123,"1995"
"189","38",12,103,"1995"
"190","39",10,97,"1995"
"191","40",10,76,"1995"
"192","41",9,78,"1995"
"193","42",8,60,"1995"
"194","43",7,38,"1995"
"195","44",7,48,"1995"
"196","45",8,32,"1995"
"197","46",8,24,"1995"
"198","47",7,27,"1995"
"199","48",6,19,"1995"
"200","49",6,12,"1995"
"201","50",5,8,"1995"
"202","51",4,9,"1995"
"203","52",5,10,"1995"
"204","53",6,8,"1995"
"205","54",2,3,"1995"
"206","55",3,4,"1995"
"207","56",2,4,"1995"
"208","57",4,5,"1995"
"209","59",1,2,"1995"
"210","60",2,2,"1995"
"211","61",1,1,"1995"
"212","62",1,1,"1995"
"213","64",1,1,"1995"
"214","65",1,1,"1995"
"215","17",1,1,"1996"
"216","19",1,1,"1996"
"217","20",1,1,"1996"
"218","21",2,4,"1996"
"219","22",2,3,"1996"
"220","23",2,12,"1996"
"221","24",2,12,"1996"
"222","25",2,24,"1996"
"223","26",2,25,"1996"
"224","27",2,30,"1996"
"225","28",4,33,"1996"
"226","29",5,45,"1996"
"227","30",3,34,"1996"
"228","31",5,63,"1996"
"229","32",5,55,"1996"
"230","33",9,61,"1996"
"231","34",10,63,"1996"
"232","35",13,78,"1996"
"233","36",12,106,"1996"
"234","37",9,161,"1996"
"235","38",12,133,"1996"
"236","39",10,146,"1996"
"237","40",7,117,"1996"
"238","41",8,95,"1996"
"239","42",8,95,"1996"
"240","43",7,99,"1996"
"241","44",7,98,"1996"
"242","45",8,105,"1996"
"243","46",6,82,"1996"
"244","47",6,81,"1996"
"245","48",6,58,"1996"
"246","49",5,34,"1996"
"247","50",5,23,"1996"
"248","51",3,8,"1996"
"249","52",4,8,"1996"
"250","53",4,8,"1996"
"251","54",3,9,"1996"
"252","55",1,2,"1996"
"253","56",3,8,"1996"
"254","58",2,3,"1996"
"255","59",2,2,"1996"
"256","60",2,3,"1996"
