"Year","Landings4RS","Landings4T","Landings.total"
1960,646,32,678
1961,474,90,564
1962,518,143,661
1963,457,94,551
1964,596,101,697
1965,805,100,905
1966,823,43,866
1967,763,150,913
1968,764,32,796
1969,1486,82,1568
1970,414,42,456
1971,418,46,464
1972,411,126,537
1973,354,75,429
1974,293,128,421
1975,162,105,267
1976,140,336,476
1977,1583,318,1901
1978,8378,1323,9701
1979,6869,2163,9032
1980,1954,1566,3520
1981,2165,237,2402
1982,158,235,393
1983,920,104,1024
1984,1907,180,2087
1985,2574,488,3062
1986,3744,1,3745
1987,907,67,974
1988,4843,249,5092
1989,9590,444,10034
1990,6369,153,6522
1991,7225,247,7472
1992,9461,56,9517
1993,10689,236,10925
1994,766,165,931
1995,105,46,151
1996,6737,171,6908
1997,7730,238,7968
1998,8212,894,9106
1999,4763,166,4929
2000,5122,0,5122
2001,741,0,741
2002,3301,0,3301
2003,5005,0,5005
2004,6520,0,6520
2005,8826,32,8858
2006,11362,519,11881
2007,7441,470,7911
2008,9972,99,10071
2009,10674,1406,12080
2010,9564,1258,10822
2011,10031,0,10031
2012,8915,147,9062
2013,6262,0,6262
2014,5683,0,5683
2015,11386,357,11743
2016,2011,394,2405
2017,1941,0,1941
2018,8142,0,8142
2019,7597,0,7597
