Year;PUEMoyComm;nueMoy.MPO.ngsl;nueMoy.MPO.sgsl;pueMoy.MPO.ngsl;pueMoy.MPO.sgsl;nueMoy.psm.ngsl;nueMoy.psm.sgsl;pueMoy.psm.ngsl;pueMoy.psm.sgsl;nueMoy85.MPO.ngsl;nueMoy85.MPO.sgsl;PUEMoy85.MPO.NGSL;PUEMoy85.MPO.SGSL;nueMoy85.psm.ngsl;PUEMoy85.PSM.NGSL;MoyPUE85.NGSL.SGSL;MoyPUE85.MPO.PSM;MoyPUE85.NGSL;MoyPUE85.MPO.SGSL.PSM
1960;;;;;;;;;;;;;;;;;;;
1961;;;;;;;;;;;;;;;;;;;
1962;;;;;;;;;;;;;;;;;;;
1963;;;;;;;;;;;;;;;;;;;
1964;;;;;;;;;;;;;;;;;;;
1965;;;;;;;;;;;;;;;;;;;
1966;;;;;;;;;;;;;;;;;;;
1967;;;;;;;;;;;;;;;;;;;
1968;;;;;;;;;;;;;;;;;;;
1969;;;;;;;;;;;;;;;;;;;
1970;;;;;;;;;;;;;;;;;;;
1971;;;;;;;;;;;;;;;;;;;
1972;;;;;;;;;;;;;;;;;;;
1973;;;;;;;;;;;;;;;;;;;
1974;;;;;;;;;;;;;;;;;;;
1975;;;;;;;;;;;;;;;;;;;
1976;;;;;;;;;;;;;;;;;;;
1977;;;;;;;;;;;;;;;;;;;
1978;;;;;;;;;;;;;;;;;;;
1979;;;;;;;;;;;;;;;;;;;
1980;;;;;;;;;;;;;;;;;;;
1981;;;;;;;;;;;;;;;;;;;
1982;;;;;;;;;;;;;;;;;;;
1983;;;;;;;;;;;;;;;;;;;
1984;;;;;;;;;;;;;;;;;;;
1985;;;0.0389453667666675;;0.0437416609615824;;;;;;;;;;;;;;
1986;;;0.019813855948448;;0.0348069937126186;;;;;;;;;;;;;;
1987;;;0.0136797228306732;;0.143474430386786;;;;;;;;;;;;;;
1988;;;0.0568337535215407;;1.89533940517478;;;;;;0.0261817118974623;;1.79514864616393;;;1.79514864616393;1.79514864616393;;1.79514864616393
1989;;;;;;;;;;;;;;;;;;;
1990;;0.0096617437025775;;0.291522748;;;;;;0.00528044774696992;;0.218082491949858;;;;0.218082491949858;0.218082491949858;0.218082491949858;
1991;;0.0344530434206871;0.016523332417879;0.304103648;0.55628552473526;;;;;0.00856474604040391;0.0110155549452527;0.237176154993852;0.498453861272684;;;0.367815008133268;0.367815008133268;0.237176154993852;0.498453861272684
1992;;0.00285234168291071;0.0236451194218057;0.183820375;1.94332532528814;;;;;0.00289455644231557;0.014171595904823;0.184232157877456;1.94000959205719;;;1.06212087496732;1.06212087496732;0.184232157877456;1.94000959205719
