Year;pueSE.Comm.4RST;nueSE.MPO.ngsl;pueSE.MPO.ngsl;nueSE.MPO.sgsl;pueSE.MPO.sgsl;nueSE.PSM.ngsl;pueSE.PSM.ngsl;nueSE.PSM.sgsl;pueSE.PSM.sgsl;nueSE85.MPO.ngsl;pueSE85.MPO.ngsl;nueSE85.MPO.sgsl;pueSE85.MPO.sgsl;nueSE85.PSM.ngsl;pueSE85.PSM.ngsl;MoyPUE85.MPO.PSM.
1960;;;;;;;;;;;;;;;;
1961;;;;;;;;;;;;;;;;
1962;;;;;;;;;;;;;;;;
1963;;;;;;;;;;;;;;;;
1964;;;;;;;;;;;;;;;;
1965;;;;;;;;;;;;;;;;
1966;;;;;;;;;;;;;;;;
1967;;;;;;;;;;;;;;;;
1968;;;;;;;;;;;;;;;;
1969;;;;;;;;;;;;;;;;
1970;;;;;;;;;;;;;;;;
1971;;;;;;;;;;;;;;;;
1972;;;;;;;;;;;;;;;;
1973;;;;;;;;;;;;;;;;
1974;;;;;;;;;;;;;;;;
1975;;;;;;;;;;;;;;;;
1976;;;;;;;;;;;;;;;;
1977;;;;;;;;;;;;;;;;
1978;;;;;;;;;;;;;;;;
1979;;;;;;;;;;;;;;;;
1980;;;;;;;;;;;;;;;;
1981;;;;;;;;;;;;;;;;
1982;;;;;;;;;;;;;;;;
1983;;;;;;;;;;;;;;;;
1984;;;;;;;;;;;;;;;;
1985;;;;0.0000333236286556943;0.0000352512139439444;;;;;;;;;;;
1986;;;;0.0000173637941639039;0.0000511990059182266;;;;;;;;;;;
1987;;;;7.88254198118262E-06;0.00119762694183484;;;;;;;;;;;
1988;;;;0.0000540374859396234;0.189954452257553;;;;;;;0.0000159999739014298;0.189647460645397;;;0.189647460645397
1989;;;;;;;;;;;;;;;;
1990;;0.0000031811485094793;0.0033799014363231;;;;;;;1.88407824191183E-06;0.00321365341644657;;;;;0.00321365341644657
1991;;9.76097990068179E-06;0.00221368278066824;9.58624724124163E-06;0.013894908809208;;;;;2.33535254367342E-06;0.00205357391819093;0.0000036870213826298;0.0137826389814776;;;0.00791810644983426
1992;;5.2360387620022E-07;0.00207818378463868;0.0000151302780667291;0.183946181687274;;;;;5.2360387620022E-07;0.00207818378463868;8.07982040322525E-06;0.183945318017398;;;0.0930117509010183
1993;;3.34142064228929E-07;0.0000404311897717004;3.91787273605924E-06;0.0000627224073856058;;;;;3.34142064228929E-07;0.0000404311897717004;;;;;0.0000404311897717004
1994;;0.0000162229271161842;0.00820405960492173;3.60131554910293E-06;3.60131554910293E-06;;;;;6.41243746364562E-06;0.00814258507892754;;;;;0.00814258507892754
