Year;Index;Landings;TAC
1970;NA;1.132;-99
1971;NA;0.954;-99
1972;NA;0.683;-99
1973;NA;0.763;-99
1974;NA;1.011;-99
1975;NA;1.544;-99
1976;NA;2.019;-99
1977;NA;3.961;-99
1978;NA;6.247;-99
1979;NA;8.791;-99
1980;NA;7.006;-99
1981;NA;3.176;-99
1982;NA;2.269;7500
1983;NA;1.105;5000
1984;NA;2.126;5000
1985;NA;2.349;5000
1986;NA;6.537;5000
1987;NA;11.069;8900
1988;NA;7.585;10500
1989;NA;5.049;10500
1990;11.617;2.448;10500
1991;12.62;2.264;10500
1992;8.302;3.417;10500
1993;6.457;2.445;4000
1994;13.088;3.655;4000
1995;27.181;2.426;4000
1996;34.994;1.945;2000
1997;34.239;2.459;3000
1998;23.462;3.945;4000
1999;33.852;3.674;4500
2000;33.869;2.078;4500
2001;28.804;1.288;4500
2002;30.522;1.752;3500
2003;87.143;3.573;3500
2004;65.736;3.952;4500
2005;71.87;4.048;4500
2006;76.437;3.868;4500
2007;74.926;3.918;4500
2008;68.668;3.758;4500
2009;46.96;4.253;4500
2010;58.836;3.954;4500
2011;55.939;3.855;4500
2012;56.109;3.468;4500
2013;39.192;2.753;4500
2014;66.308;3.159;4500
2015;54.935;3.391;4500
2016;45.559;3.3;4500
2017;25.445;1.767;4500
2018;27.509;1.493;3375
2019;20.836;1.759;3375
